support-group,subject,body,sentiment,urgency
Shipping and Delivery Updates,Reschedule UPS delivery—thank you!,"Hi,

UPS shows my Orion X Desktop PC (Order #67890) for Saturday, June 14. I’m away—could you please reschedule for Monday, June 16 between 10 AM–2 PM? Much appreciated!

Claire Dubois",happy,low
Shipping and Delivery Updates,Update shipping address on Order #78901,"Hello Support,

I mistakenly used my old address (742 Evergreen Terrace, Berlin) for Order #78901 (Aurora Night Light). Please change it to: 1234 Schiffbauerweg, Apt 7C, 10115 Berlin.

Best,
Jan Schneider",neutral,low
Returns and Exchanges Management,Return request for QuickHeat Max (Order #89012),"Hi,

I’d like to return the QuickHeat Max portable heater (Order #89012) purchased May 20 under your 30-day policy. It heats unevenly and feels unsafe. Please send a prepaid return label and packaging instructions.

Thanks,
Patricia Lopez",neutral,medium
Returns and Exchanges Management,Easy exchange—small gloves too tight!,"Hello,

Thanks for the ArcticGrip Gloves (Order #90123) arriving so quickly! Unfortunately, size S is too snug. Could I exchange them for size M? I’m in Munich (80331).

Regards,
Sebastian Klein",happy,low
Returns and Exchanges Management,Refund delay for returned UltraView Mirror,"Good morning,

I returned my UltraView Smart Mirror (Order #01234) on May 25 via DHL Tracking 321654987, delivered May 28. It’s June 11 and no refund yet—this is frustrating. Please update the refund status.

Anna Gruber",unhappy,medium
Returns and Exchanges Management,Missing prepaid label for JoyRide Bike,"Hey Support,

I initiated a return for JoyRide Electric Bike (Order #12345) but didn’t receive the prepaid label PDF. Could you resend it to [anna.gruber@example.com]?

Cheers,
Anna Gruber",neutral,low
Returns and Exchanges Management,Damaged mugs—demanding immediate exchange!,"Hi,

The Premium Ceramic Mug Set (Order #23456) arrived with two mugs shattered. I’m very unhappy this was shipped without care. I want a replacement pair sent overnight, no questions.

—Michael Becker",very unhappy,high
Claims and Product Defects,Cracked screen on VisionPad 8 Tablet (Order #34567),"Hello,

My VisionPad 8 Tablet (Order #34567) arrived with a cracked display despite sealed packaging. Please advise on warranty replacement. Serial VP8-998877; I’ve attached photos.

Thanks,
Julia Meyer",neutral,medium
Claims and Product Defects,ProGrill heating element failure—warranty claim,"Hi Team,

After only 4 months, the heating element on my ProGrill Electric Grill (PG-2000, SN PG2000-554433) stopped working. This is disappointing for a premium product. How do I file a warranty claim for repair or replacement?

Regards,
Markus Fischer",unhappy,medium
Claims and Product Defects,Missing EU power cable—ChargeMaster Elite,"Support,

My ChargeMaster Elite station (Order #45678) arrived without the EU power cable (Part #CM-EU-01). Please ship the missing cable at your earliest convenience.

Best,
Elena Schmidt",neutral,low
Claims and Product Defects,AquaFlow Pump keeps shutting off—fix this!,"Hey,

My AquaFlow Aquarium Pump (AF-300) randomly shuts off after 10–15 minutes. I’ve cleaned the filter and checked voltage. This is unacceptable—resolve this defect now or I want a refund.

—Oliver Neumann",very unhappy,high
Claims and Product Defects,Stitching issue on Laptop Sleeve—quick replacement please,"Good afternoon,

I adore the UrbanCarry Sleeve (Order #56789), but the stitching started to tear after two weeks. Could you send a replacement? I’m happy to ship back the faulty one.

Laura Schröder",happy,low
Payment and Billing Support,Duplicate €149.99 charge for order #67890,"Hi Billing Team,

I was charged twice (€149.99 each) for Order #67890 (SolarClean Purifier) on June 2, 2025. Please reverse the duplicate charge.

Thanks,
David Klein",neutral,medium
Payment and Billing Support,Thanks! Need invoice for reimbursement,"Hello,

Great service so far—could you email me a detailed invoice for Order #78901 (ProLift Screwdriver Kit), including VAT breakdown? My employer needs it for expenses.

Regards,
Svenja Wagner",happy,low
Payment and Billing Support,Declined payment retry—alternative method?,"Hey,

My MasterCard ending 5678 was declined twice for Order #89012, despite sufficient funds. This is frustrating. Can you retry or suggest another payment option?

Cheers,
Philipp Zimmermann",unhappy,medium
Payment and Billing Support,Update billing address and card details,"Support,

I’ve moved—please update my billing address to Hauptstraße 45, 10117 Berlin, and replace my card with one ending 4321 (expiry 11/26). How can I do this securely?

Best,
Katrin Meyer",neutral,low
Payment and Billing Support,Reversing accidental chargeback—urgent!,"Hi,

I accidentally initiated a chargeback on Order #90123 (ArcticGrip Gloves). This is urgent—I need to reverse it and pay €39.99 immediately. Tell me how now!

—Fabian Becker",very unhappy,high
Customer Account Support,Password reset email never arrived,"Hello,

I requested a password reset for username mjones83 on June 9 but haven’t received the link (checked spam). Can you manually send it or help me log in?

Thanks,
Michael Jones",neutral,medium
Customer Account Support,Please merge my duplicate accounts—thanks!,"Hi Team,

I accidentally created two accounts under [anna.schmidt@example.com] (AnnaSchmidt & Anna.S). Can you merge their orders and loyalty points into AnnaSchmidt? Appreciate your help!

Regards,
Anna Schmidt",happy,low
Customer Account Support,Phone number update not saving,"Hey,

I tried updating my phone number from +49 160 5551234 to +49 170 8764321 under userID 83745 but it reverts. Please fix this bug.

Cheers,
Tobias Koch",unhappy,low
Customer Account Support,Account deletion request under GDPR,"Support Team,

I wish to delete my account (user: petra.mueller92) and all associated data per GDPR. Please confirm once it’s completed.

—Petra Müller",neutral,low
Customer Account Support,Disable 2FA now—I’m locked out!,"Good morning,

I enabled 2FA on June 1 but lost my authenticator when switching phones. I can’t log in. Disable 2FA immediately on userID 55432 so I can regain access.

Thanks,
Timo Fischer",very unhappy,high
Loyalty Programs and Discounts,How to earn points with my first purchase?,"Hi,

I just joined the loyalty program (Member #112233) and bought the UltraSeal Mug (Order #11223). No points showed up—how do I earn and redeem them? Looking forward to perks!

Thanks,
Julia Klein",happy,low
Loyalty Programs and Discounts,€20 voucher expired—need reactivation,"Hello,

My €20 voucher VOUCHER20 expired May 10, 2025 while I was hospitalized. Can you extend or reactivate it? I plan to buy the TurboBlend 300 soon.

Regards,
Leon Schulz",unhappy,low
Loyalty Programs and Discounts,Gold tier benefits inquiry (Member #445566),"Hey,

I reached Gold tier yesterday (Member #445566). Does that include free express shipping, early sale access, or bonus point multipliers? Please detail my perks.

Cheers,
Franziska Becker",neutral,low
Loyalty Programs and Discounts,Loyalty discount not applied—fix invoice!,"Hi Support,

I used my 10% loyalty discount for AeroPure Air Purifier (Order #22334) but invoice shows €129.99 full price. This is unacceptable—correct it now.

Simon Neubauer",very unhappy,medium
Loyalty Programs and Discounts,Cancel CoffeeClub subscription before renewal,"Hello,

I signed up for CoffeeClub (Order #33445) on June 5 but need to cancel before the next billing. Please confirm cancellation and any prorated refund.

Thanks,
Nina Richter",neutral,low
Customer Feedback and Complaints,Feedback: checkout UX is confusing,"Hi,

Your new checkout for the SolarWave LED Lamp (Order #55667) is confusing. The shipping options hide behind a small arrow—I nearly missed express delivery. Please improve clarity.

Best,
Karim Yilmaz",unhappy,low
Customer Feedback and Complaints,Complaint: rude agent Laura,"Hello,

Agent Laura was dismissive on June 8 when I called about RoboClean X1 error E23. She rushed me off the call and didn’t help. I want this escalated to a supervisor.

Regards,
Monica Stevens",very unhappy,high
Customer Feedback and Complaints,Love the order dashboard—feature suggestion,"Hey team,

I really like the new order dashboard! To make it even better, can you add keyboard shortcuts like “N” for new order and “T” for tracking? It would streamline my workflow.

Cheers,
Viktor Novak",happy,low
Customer Feedback and Complaints,Kudos for quick billing fix!,"Hi,

Thanks for refunding my duplicate charge within two hours! Your billing team was prompt and friendly. Great job—keep it up!

—Emily Hartmann",happy,low
Customer Feedback and Complaints,Suggestion: switch to sustainable packaging,"Hello,

I appreciate your products, but the plastic bubble wrap feels wasteful. Could you consider recycled cardboard inserts or compostable cushioning? It would better align with your eco-friendly message.

Thank you,
Sven Jansen",neutral,low
